(1087938565, 792502831) 	(1, set(["'twitterfuckedupfollowparty'"]))
(1087938565, 797598294) 	(1, set(["'twitterfuckedupfollowparty'"]))
(1087938565, 840229986) 	(1, set(["'twitterfuckedupfollowparty'"]))
(1087938565, 861521305) 	(1, set(["'twitterfuckedupfollowparty'"]))
(1103524008, 1695002706) 	(1, set(["'qna'"]))
(1129407384, 1065061434) 	(1, set(["'retweet'"]))
(1129407384, 1138371511) 	(1, set(["'retweet'"]))
(1129407384, 1151885630) 	(4, set([" 'retweet'", " 'tfbjp'", "'ganaseguidores'", " 'retweetsfollowtrain'"]))
(1129407384, 1537829047) 	(1, set(["'retweet'"]))
(1129407384, 1923338977) 	(1, set(["'retweet'"]))
(1129407384, 2161124936) 	(1, set(["'retweet'"]))
(1129407384, 2201038520) 	(1, set(["'retweet'"]))
(1129407384, 2229353819) 	(1, set(["'retweet'"]))
(1129407384, 2239129534) 	(1, set(["'retweet'"]))
(1129407384, 2244534042) 	(1, set(["'retweet'"]))
(1129407384, 2262139083) 	(1, set(["'retweet'"]))
(1129407384, 2269391142) 	(1, set(["'retweet'"]))
(1129407384, 2273581637) 	(3, set([" 'retweet'", " 'tfbjp'", "'ganaseguidores'"]))
(1129407384, 396618070) 	(1, set(["'retweet'"]))
(1129407384, 503812374) 	(1, set(["'retweet'"]))
(1129407384, 535064618) 	(1, set(["'retweet'"]))
(1129407384, 545603530) 	(1, set(["'retweet'"]))
(1129407384, 628140857) 	(1, set(["'retweet'"]))
(1129407384, 719837532) 	(1, set(["'retweet'"]))
(1129407384, 775685359) 	(1, set(["'retweet'"]))
(1129407384, 852770294) 	(1, set(["'retweet'"]))
(1129407384, 985975068) 	(1, set(["'tfbjp'"]))
(1129605930, 474118937) 	(1, set(["'jobs'"]))
(1138371511, 1065061434) 	(2, set([" 'retweet'", "'teamfollowback'"]))
(1138371511, 1129407384) 	(1, set(["'retweet'"]))
(1138371511, 1151885630) 	(1, set(["'retweet'"]))
(1138371511, 1537829047) 	(1, set(["'retweet'"]))
(1138371511, 157044141) 	(1, set(["'me'"]))
(1138371511, 1923338977) 	(1, set(["'retweet'"]))
(1138371511, 2161124936) 	(1, set(["'retweet'"]))
(1138371511, 2194188276) 	(1, set(["'teamfollowback'"]))
(1138371511, 2201038520) 	(2, set([" 'retweet'", "'teamfollowback'"]))
(1138371511, 2229353819) 	(2, set([" 'retweet'", "'teamfollowback'"]))
(1138371511, 2239129534) 	(2, set([" 'retweet'", "'teamfollowback'"]))
(1138371511, 2244534042) 	(2, set([" 'retweet'", "'teamfollowback'"]))
(1138371511, 2262139083) 	(1, set(["'retweet'"]))
(1138371511, 2269391142) 	(2, set([" 'retweet'", "'teamfollowback'"]))
(1138371511, 2273581637) 	(1, set(["'retweet'"]))
(1138371511, 396618070) 	(1, set(["'retweet'"]))
(1138371511, 503812374) 	(1, set(["'retweet'"]))
(1138371511, 535064618) 	(1, set(["'retweet'"]))
(1138371511, 545603530) 	(2, set([" 'retweet'", "'teamfollowback'"]))
(1138371511, 628140857) 	(1, set(["'retweet'"]))
(1138371511, 719837532) 	(1, set(["'retweet'"]))
(1138371511, 775685359) 	(1, set(["'retweet'"]))
(1138371511, 852770294) 	(2, set([" 'retweet'", "'teamfollowback'"]))
(1138371511, 895578223) 	(1, set(["'teamfollowback'"]))
(1138371511, 985975068) 	(1, set(["'teamfollowback'"]))
(114116610, 157044141) 	(1, set(["'happybirthday'"]))
(114190972, 1087938565) 	(1, set(["'twitterfuckedupfollowparty'"]))
(114190972, 1566071593) 	(1, set(["'twitterfuckedupfollowparty'"]))
(114190972, 1832243125) 	(1, set(["'twitterfuckedupfollowparty'"]))
(114190972, 2261461237) 	(1, set(["'twitterfuckedupfollowparty'"]))
(114190972, 2285351160) 	(1, set(["'twitterfuckedupfollowparty'"]))
(114190972, 295536426) 	(1, set(["'twitterfuckedupfollowparty'"]))
(114190972, 362504586) 	(1, set(["'twitterfuckedupfollowparty'"]))
(114190972, 545603530) 	(1, set(["'twitterfuckedupfollowparty'"]))
(114190972, 546215984) 	(1, set(["'twitterfuckedupfollowparty'"]))
(114190972, 609517265) 	(1, set(["'twitterfuckedupfollowparty'"]))
(114190972, 616706106) 	(1, set(["'twitterfuckedupfollowparty'"]))
(114190972, 705320146) 	(1, set(["'twitterfuckedupfollowparty'"]))
(114190972, 792502831) 	(1, set(["'twitterfuckedupfollowparty'"]))
(114190972, 797598294) 	(1, set(["'twitterfuckedupfollowparty'"]))
(114190972, 840229986) 	(1, set(["'twitterfuckedupfollowparty'"]))
(114190972, 861521305) 	(1, set(["'twitterfuckedupfollowparty'"]))
(1151885630, 1065061434) 	(1, set(["'retweet'"]))
(1151885630, 1129407384) 	(4, set([" 'retweet'", " 'tfbjp'", "'ganaseguidores'", " 'retweetsfollowtrain'"]))
(1151885630, 1138371511) 	(1, set(["'retweet'"]))
(1151885630, 1537829047) 	(1, set(["'retweet'"]))
(1151885630, 1923338977) 	(1, set(["'retweet'"]))
(1151885630, 2161124936) 	(1, set(["'retweet'"]))
(1151885630, 2201038520) 	(1, set(["'retweet'"]))
(1151885630, 2229353819) 	(1, set(["'retweet'"]))
(1151885630, 2239129534) 	(1, set(["'retweet'"]))
(1151885630, 2244534042) 	(1, set(["'retweet'"]))
(1151885630, 2262139083) 	(1, set(["'retweet'"]))
(1151885630, 2269391142) 	(1, set(["'retweet'"]))
(1151885630, 2273581637) 	(3, set([" 'retweet'", " 'tfbjp'", "'ganaseguidores'"]))
