(792502831, 861521305)	('twitterfuckedupfollowparty', 'followtrick')
(792502831, 609517265)	('twitterfuckedupfollowparty', 'followtrick')
(792502831, 2207730809)	('followtrick',)
(792502831, 2261461237)	('twitterfuckedupfollowparty', 'followtrick')
(792502831, 840229986)	('twitterfuckedupfollowparty',)
(792502831, 2285351160)	('twitterfuckedupfollowparty',)
(792502831, 114190972)	('twitterfuckedupfollowparty',)
(792502831, 310914225)	('followtrick',)
(792502831, 1566071593)	('twitterfuckedupfollowparty',)
(792502831, 362504586)	('twitterfuckedupfollowparty', 'followtrick')
(792502831, 295536426)	('twitterfuckedupfollowparty',)
(792502831, 616706106)	('twitterfuckedupfollowparty', 'followtrick')
(792502831, 1087938565)	('twitterfuckedupfollowparty',)
(1056282384, 497513509)	('bvd',)
(343670792, 1466299363)	('femalestruggles',)
(1631428891, 895230932)	('exadirectioners',)
(1631428891, 1844115444)	('exadirectioners',)
(1631428891, 190927690)	('exadirectioners',)
(1631428891, 1629145248)	('exadirectioners',)
(1631428891, 997377012)	('exadirectioners',)
(1631428891, 981413491)	('exadirectioners',)
(1631428891, 1495441500)	('exadirectioners',)
(1631428891, 1844115444)	('exadirectioners',)
(1631428891, 550712914)	('exadirectioners',)
(1631428891, 911562086)	('exadirectioners',)
(1631428891, 1548698851)	('exadirectioners',)
(1631428891, 1500558018)	('exadirectioners',)
(1631428891, 2267940914)	('exadirectioners',)
(1631428891, 1075380937)	('exadirectioners',)
(1631428891, 438409827)	('exadirectioners',)
(1631428891, 1494898957)	('exadirectioners',)
(1631428891, 1661758592)	('exadirectioners',)
(1631428891, 2268998065)	('exadirectioners',)
(1631428891, 1360486507)	('exadirectioners',)
(1631428891, 806259788)	('exadirectioners',)
(1631428891, 735137947)	('exadirectioners',)
(1631428891, 2268662113)	('exadirectioners',)
(1631428891, 526112989)	('exadirectioners',)
(1631428891, 1064066208)	('exadirectioners',)
(1631428891, 2277695316)	('exadirectioners',)
(1631428891, 840229986)	('exadirectioners',)
(1631428891, 1539967478)	('exadirectioners',)
(1631428891, 1951279062)	('exadirectioners',)
(1631428891, 482958998)	('exadirectioners',)
(1631428891, 2155238964)	('exadirectioners',)
(1631428891, 1661727884)	('exadirectioners',)
(1631428891, 79492409)	('exadirectioners',)
(1631428891, 553667989)	('exadirectioners',)
(1631428891, 1280508122)	('exadirectioners',)
(1629145248, 895230932)	('exadirectioners',)
(1629145248, 1844115444)	('exadirectioners',)
(1629145248, 190927690)	('exadirectioners',)
(1629145248, 1631428891)	('exadirectioners',)
(1629145248, 997377012)	('exadirectioners',)
(1629145248, 981413491)	('exadirectioners',)
(1629145248, 1495441500)	('exadirectioners',)
(1629145248, 1844115444)	('exadirectioners',)
(1629145248, 550712914)	('exadirectioners',)
(1629145248, 911562086)	('exadirectioners',)
(1629145248, 1548698851)	('exadirectioners',)
(1629145248, 1500558018)	('exadirectioners',)
(1629145248, 2267940914)	('exadirectioners',)
(1629145248, 1075380937)	('exadirectioners',)
(1629145248, 438409827)	('exadirectioners',)
(1629145248, 1494898957)	('exadirectioners',)
(1629145248, 1661758592)	('exadirectioners',)
(1629145248, 2268998065)	('exadirectioners',)
(1629145248, 1360486507)	('exadirectioners',)
(1629145248, 806259788)	('exadirectioners',)
(1629145248, 735137947)	('exadirectioners',)
(1629145248, 2268662113)	('exadirectioners',)
(1629145248, 526112989)	('exadirectioners',)
(1629145248, 1064066208)	('exadirectioners',)
(1629145248, 2277695316)	('exadirectioners',)
(1629145248, 840229986)	('exadirectioners',)
(1629145248, 1539967478)	('exadirectioners',)
(1629145248, 1951279062)	('exadirectioners',)
(1629145248, 482958998)	('exadirectioners',)
(1629145248, 2155238964)	('exadirectioners',)
(1629145248, 1661727884)	('exadirectioners',)
(1629145248, 79492409)	('exadirectioners',)
(1629145248, 553667989)	('exadirectioners',)
(1629145248, 1280508122)	('exadirectioners',)
(1521892128, 2262344692)	('exabeliebers',)
(1521892128, 827613722)	('exabeliebers',)
(1521892128, 387903201)	('exabeliebers',)
(1521892128, 1601598006)	('exabeliebers',)
(1521892128, 1548698851)	('exabeliebers',)
(1521892128, 2267940914)	('exabeliebers',)
(1521892128, 1957868742)	('exabeliebers',)
(1521892128, 2268662113)	('exabeliebers',)
(1521892128, 567411739)	('exabeliebers',)
(1521892128, 1064066208)	('exabeliebers',)
(1521892128, 1293308695)	('exabeliebers',)
(1521892128, 2277695316)	('exabeliebers',)
(1521892128, 571244384)	('exabeliebers',)
(1521892128, 2222176842)	('exabeliebers',)
(1291364624, 895508888)	('unionjbestfans2014',)
(1291364624, 827150118)	('unionjbestfans2014',)
(1291364624, 151169711)	('unionjbestfans2014',)
(997377012, 895230932)	('exadirectioners',)
(997377012, 1844115444)	('exadirectioners',)
(997377012, 190927690)	('exadirectioners',)
(997377012, 1631428891)	('exadirectioners',)
(997377012, 1629145248)	('exadirectioners',)
(997377012, 981413491)	('exadirectioners',)
(997377012, 1495441500)	('exadirectioners',)
(997377012, 1844115444)	('exadirectioners',)
(997377012, 550712914)	('exadirectioners',)
(997377012, 911562086)	('exadirectioners',)
(997377012, 1548698851)	('exadirectioners',)
(997377012, 1500558018)	('exadirectioners',)
(997377012, 2267940914)	('exadirectioners',)
(997377012, 1075380937)	('exadirectioners',)
(997377012, 438409827)	('exadirectioners',)
(997377012, 1494898957)	('exadirectioners',)
(997377012, 1661758592)	('exadirectioners',)
(997377012, 2268998065)	('exadirectioners',)
(997377012, 1360486507)	('exadirectioners',)
(997377012, 806259788)	('exadirectioners',)
(997377012, 735137947)	('exadirectioners',)
(997377012, 2268662113)	('exadirectioners',)
(997377012, 526112989)	('exadirectioners',)
(997377012, 1064066208)	('exadirectioners',)
(997377012, 2277695316)	('exadirectioners',)
(997377012, 840229986)	('exadirectioners',)
(997377012, 1539967478)	('exadirectioners',)
(997377012, 1951279062)	('exadirectioners',)
(997377012, 482958998)	('exadirectioners',)
(997377012, 2155238964)	('exadirectioners',)
(997377012, 1661727884)	('exadirectioners',)
(997377012, 79492409)	('exadirectioners',)
(997377012, 553667989)	('exadirectioners',)
(997377012, 1280508122)	('exadirectioners',)
(1969962535, 183634685)	('sun',)
(74229904, 26552251)	('iphone',)
(74229904, 1614711692)	('gameinsight', 'iphonegames', 'iphone')
(74229904, 150164143)	('gameinsight',)
(74229904, 1831597285)	('gameinsight',)
(74229904, 175439030)	('gameinsight', 'iphonegames', 'iphone')
(74229904, 85240499)	('gameinsight',)
(74229904, 94967912)	('gameinsight',)
(74229904, 1001668418)	('gameinsight',)
(74229904, 173769451)	('gameinsight',)
(74229904, 1335524202)	('gameinsight',)
(74229904, 848626898)	('gameinsight',)
(74229904, 2201792924)	('gameinsight',)
(74229904, 1176542268)	('gameinsight',)
(74229904, 2164881367)	('gameinsight',)
(74229904, 184363448)	('gameinsight',)
(74229904, 53450179)	('gameinsight',)
(74229904, 254319787)	('gameinsight',)
(74229904, 22663195)	('gameinsight',)
(74229904, 328163581)	('gameinsight',)
(74229904, 1282114200)	('gameinsight',)
(74229904, 1242646303)	('gameinsight',)
(74229904, 550199697)	('gameinsight',)
(74229904, 417388167)	('gameinsight',)
(74229904, 1407402936)	('gameinsight',)
(74229904, 173769451)	('gameinsight',)
(74229904, 259983969)	('gameinsight',)
(74229904, 417388167)	('gameinsight',)
(74229904, 280935112)	('gameinsight',)
(74229904, 602380138)	('gameinsight',)
(74229904, 556827415)	('gameinsight',)
(74229904, 1261218080)	('gameinsight',)
(74229904, 20146536)	('gameinsight',)
(74229904, 241011705)	('iphone',)
(74229904, 1234926085)	('gameinsight',)
(74229904, 1220748181)	('gameinsight',)
(74229904, 1459905258)	('gameinsight',)
(74229904, 334323818)	('gameinsight',)
(74229904, 26829635)	('gameinsight',)
(74229904, 951244134)	('gameinsight',)
(981413491, 895230932)	('exadirectioners',)
(981413491, 1844115444)	('exadirectioners',)
(981413491, 190927690)	('exadirectioners',)
(981413491, 1832243125)	('followtrick',)
(981413491, 1065061434)	('followtrick',)
(981413491, 792502831)	('followtrick',)
(981413491, 1631428891)	('exadirectioners',)
(981413491, 1629145248)	('exadirectioners',)
(981413491, 997377012)	('exadirectioners',)
(981413491, 234757597)	('followtrick',)
(981413491, 1495441500)	('exadirectioners',)
(981413491, 1844115444)	('exadirectioners',)
(981413491, 550712914)	('exadirectioners',)
(981413491, 1911783176)	('followtrick',)
(981413491, 911562086)	('exadirectioners',)
(981413491, 1548698851)	('exadirectioners',)
(981413491, 1500558018)	('exadirectioners',)
(981413491, 2267940914)	('exadirectioners',)
(981413491, 1075380937)	('exadirectioners',)
(981413491, 438409827)	('exadirectioners',)
(981413491, 2161734298)	('followtrick',)
(981413491, 1494898957)	('exadirectioners',)
(981413491, 861521305)	('followtrick',)
(981413491, 609517265)	('followtrick',)
(981413491, 1661758592)	('exadirectioners',)
(981413491, 2268998065)	('exadirectioners',)
(981413491, 1360486507)	('exadirectioners',)
(981413491, 806259788)	('exadirectioners',)
(981413491, 735137947)	('exadirectioners',)
(981413491, 2207730809)	('followtrick',)
(981413491, 2268662113)	('exadirectioners',)
(981413491, 526112989)	('exadirectioners',)
(981413491, 1064066208)	('exadirectioners',)
(981413491, 2261461237)	('followtrick',)
(981413491, 2277695316)	('exadirectioners',)
(981413491, 840229986)	('exadirectioners',)
(981413491, 310914225)	('followtrick',)
(981413491, 1539967478)	('exadirectioners',)
(981413491, 1951279062)	('exadirectioners',)
(981413491, 482958998)	('exadirectioners',)
(981413491, 2155238964)	('exadirectioners',)
(981413491, 1661727884)	('exadirectioners',)
(981413491, 362504586)	('followtrick',)
(981413491, 79492409)	('exadirectioners',)
(981413491, 616706106)	('followtrick',)
(981413491, 553667989)	('exadirectioners',)
(981413491, 1280508122)	('exadirectioners',)
(2269236895, 1005593198)	('news',)
(2269236895, 14907009)	('news',)
(2269236895, 252433607)	('news',)
(2269236895, 2209606256)	('news',)
(2273112546, 120957662)	('np',)
(2273112546, 405660160)	('np',)
(2273112546, 1555292454)	('np',)
(234757597, 1832243125)	('followtrick',)
(234757597, 1065061434)	('followtrick',)
(234757597, 792502831)	('followtrick',)
(234757597, 981413491)	('followtrick',)
(234757597, 1911783176)	('followtrick',)
(234757597, 2161734298)	('followtrick',)
(234757597, 861521305)	('followtrick',)
(234757597, 609517265)	('followtrick',)
(234757597, 2207730809)	('followtrick',)
